date,open,high,low,close,volume
12/12/1980,0.0996,0.1,0.0996,0.0996,469033600
12/15/1980,0.0948,0.0948,0.0944,0.0944,175884800
12/16/1980,0.0879,0.0879,0.0874,0.0874,105728000
12/17/1980,0.0896,0.09,0.0896,0.0896,86441600
12/18/1980,0.0922,0.0926,0.0922,0.0922,73449600
12/19/1980,0.0978,0.0983,0.0978,0.0978,48630400
12/22/1980,0.1026,0.103,0.1026,0.1026,37363200
12/23/1980,0.1069,0.1074,0.1069,0.1069,46950400
12/24/1980,0.1126,0.113,0.1126,0.1126,48003200
12/26/1980,0.1229,0.1234,0.1229,0.1229,55574400
12/29/1980,0.1247,0.1251,0.1247,0.1247,93161600
12/30/1980,0.1221,0.1221,0.1216,0.1216,68880000
12/31/1980,0.1186,0.1186,0.1182,0.1182,35750400
1/2/1981,0.1195,0.1203,0.1195,0.1195,21660800
1/5/1981,0.1173,0.1173,0.1169,0.1169,35728000
1/6/1981,0.1121,0.1121,0.1117,0.1117,45158400
1/7/1981,0.1074,0.1074,0.1069,0.1069,55686400
1/8/1981,0.1052,0.1052,0.1048,0.1048,39827200
1/9/1981,0.1104,0.1108,0.1104,0.1104,21504000
1/12/1981,0.1104,0.1104,0.1095,0.1095,23699200
1/13/1981,0.1061,0.1061,0.1056,0.1056,23049600
1/14/1981,0.1061,0.1065,0.1061,0.1061,14291200
1/15/1981,0.1082,0.1091,0.1082,0.1082,14067200
1/16/1981,0.1078,0.1078,0.1074,0.1074,13395200
1/19/1981,0.1138,0.1143,0.1138,0.1138,41574400
1/20/1981,0.1108,0.1108,0.1104,0.1104,30083200
1/21/1981,0.1126,0.1134,0.1126,0.1126,15904000
1/22/1981,0.1138,0.1147,0.1138,0.1138,35548800
1/23/1981,0.1138,0.1143,0.1134,0.1134,11222400
1/26/1981,0.1121,0.1121,0.1117,0.1117,24640000
1/27/1981,0.1117,0.1117,0.1108,0.1108,23699200
1/28/1981,0.1078,0.1078,0.1074,0.1074,28156800
1/29/1981,0.1039,0.1039,0.1034,0.1034,43904000
1/30/1981,0.0987,0.0987,0.0978,0.0978,46188800
2/2/1981,0.0926,0.0926,0.0922,0.0922,23766400
2/3/1981,0.0957,0.0961,0.0957,0.0957,19152000
2/4/1981,0.0991,0.0996,0.0991,0.0991,27865600
2/5/1981,0.0991,0.1,0.0991,0.0991,7929600
2/6/1981,0.0996,0.1,0.0996,0.0996,13865600
2/9/1981,0.0952,0.0952,0.0944,0.0944,16755200
2/10/1981,0.0944,0.0948,0.0944,0.0944,18345600
2/11/1981,0.0918,0.0918,0.0913,0.0913,13843200
