date,open,high,low,close,volume
3/27/2014,28.4,28.4,27.646,27.923,262000
3/28/2014,28.06,28.3215,27.9335,27.9995,822000
3/31/2014,28.3445,28.35,27.8465,27.8485,216000
4/1/2014,27.9355,28.4225,27.9355,28.358,158000
4/2/2014,28.2553,30.2415,28.1095,28.35,2934000
4/3/2014,28.4925,29.364,28.2065,28.487,101704000
4/4/2014,28.7325,28.8885,27.15,27.157,127038000
4/7/2014,27.037,27.424,26.3575,26.9075,87792000
4/8/2014,27.13,27.75,27.0805,27.745,62852000
4/9/2014,27.981,28.2685,27.6475,28.207,66434000
4/10/2014,28.25,28.25,26.995,27.0475,80516000
4/11/2014,26.6275,27,26.3265,26.53,78282000
4/14/2014,26.9125,27.205,26.4781,26.626,51360000
4/15/2014,26.841,26.9225,25.923,26.822,76890000
4/16/2014,27.15,27.85,27,27.827,97598000
4/17/2014,27.4405,27.475,26.5575,26.805,135818000
4/21/2014,26.805,26.835,26.28,26.431,51194000
4/22/2014,26.432,26.8615,26.3755,26.7405,47178000
4/23/2014,26.6895,26.6935,26.3125,26.347,40934000
4/24/2014,26.5035,26.5825,26.106,26.258,37560000
4/25/2014,26.1255,26.235,25.771,25.809,41892000
4/28/2014,25.859,25.93,25.14,25.8575,66528000
4/29/2014,25.845,26.473,25.816,26.385,53834000
4/30/2014,26.38,26.4,26.126,26.333,34928000
5/1/2014,26.3555,26.6465,26.194,26.5675,38006000
5/2/2014,26.688,26.7,26.2805,26.3965,33678000
5/5/2014,26.241,26.445,26.066,26.3905,20426000
5/6/2014,26.2615,26.3405,25.753,25.757,33688000
5/7/2014,25.7895,25.834,25.165,25.498,64310000
5/8/2014,25.423,25.8615,25.3225,25.55,40316000
5/9/2014,25.5375,25.995,25.21,25.9365,48656000
5/12/2014,26.1755,26.5095,25.9505,26.496,38146000
5/13/2014,26.5445,26.8035,26.4755,26.6545,32978000
5/14/2014,26.65,26.65,26.2645,26.3325,23770000
5/15/2014,26.285,26.2935,25.871,25.999,33994000
5/16/2014,26.0695,26.09,25.772,26.0315,29624000
5/19/2014,25.985,26.489,25.8792,26.443,25486000
5/20/2014,26.487,26.8115,26.315,26.4885,35598000
5/21/2014,26.645,26.9591,26.5955,26.947,23860000
