date,open,high,low,close,volume
5/18/2012,42.05,45,38,38.2318,573576400
5/21/2012,36.53,36.66,33,34.03,168192700
5/22/2012,32.61,33.59,30.94,31,101786600
5/23/2012,31.37,32.5,31.36,32,73600000
5/24/2012,32.95,33.21,31.77,33.03,50237200
5/25/2012,32.9,32.95,31.11,31.91,37149800
5/29/2012,31.48,31.69,28.65,28.84,78063400
5/30/2012,28.695,29.55,27.86,28.19,57267900
5/31/2012,28.545,29.67,26.83,29.6,111639200
6/1/2012,28.892,29.15,27.39,27.72,41855500
6/4/2012,27.2,27.65,26.44,26.9,35230300
6/5/2012,26.7,27.76,25.75,25.869,42473400
6/6/2012,26.07,27.17,25.52,26.81,61489200
6/7/2012,27,27.35,26.15,26.31,26159500
6/8/2012,26.55,27.76,26.44,27.1,38034000
6/11/2012,27.18,28.07,26.835,27.005,28219600
6/12/2012,27.48,27.77,26.96,27.4,15816800
6/13/2012,27.66,28.1,27.1,27.27,17102800
6/14/2012,27.65,28.32,27.38,28.29,16855000
6/15/2012,28.505,30.1,28.35,30.014,43563800
6/18/2012,29.955,32.08,29.41,31.41,42978900
6/19/2012,31.535,32.18,30.7,31.911,30849000
6/20/2012,31.92,31.9288,31.15,31.6,15553600
6/21/2012,31.67,32.5,31.51,31.84,21875300
6/22/2012,32.41,33.45,32.06,33.05,74834000
6/25/2012,32.86,33.02,31.55,32.06,24352900
6/26/2012,32.69,33.44,32.5,33.1,24858700
6/27/2012,32.46,32.9,31.9,32.23,28568000
6/28/2012,31.96,32.19,30.9,31.36,17713300
6/29/2012,31.92,31.99,30.76,31.095,19526900
7/2/2012,31.25,31.73,30.55,30.771,14122000
7/3/2012,30.91,31.44,30.8,31.2,8763600
7/5/2012,31.32,31.625,31.02,31.47,10032100
7/6/2012,31.44,31.9,31.26,31.73,10945600
7/9/2012,32.1,32.88,31.99,32.17,17785200
7/10/2012,32.43,32.48,31.1599,31.47,14269500
7/11/2012,31.48,31.56,30.55,30.97,13030300
7/12/2012,30.7,31.4,30.6,30.81,11300700
7/13/2012,31.04,31.07,30.56,30.72,8108300
7/16/2012,30.5,30.5,28.21,28.245,24672100
7/17/2012,28.48,28.59,27.15,28.09,30438600
7/18/2012,28.31,29.29,28.15,29.11,16841800
7/19/2012,29.41,29.5,28.63,29,13685100
7/20/2012,29,29.47,28.72,28.76,11869100
7/23/2012,28.12,29,28.01,28.75,12390700
7/24/2012,28.82,29.45,28.1,28.45,11539800
7/25/2012,28.39,29.49,28.08,29.34,17230200
7/26/2012,27.75,28.23,26.73,26.845,64597400
7/27/2012,23.19,24.54,22.28,23.705,123102300
