date,open,high,low,close,volume
1/22/1999,0.4018,0.4485,0.3565,0.3768,271468800
1/25/1999,0.4066,0.421,0.3768,0.4162,51048000
1/26/1999,0.421,0.4294,0.3779,0.3839,34320000
1/27/1999,0.3852,0.3948,0.3636,0.3827,24436800
1/28/1999,0.3827,0.3852,0.3791,0.3816,22752000
1/29/1999,0.3816,0.3827,0.3636,0.3636,24403200
2/1/1999,0.3636,0.3731,0.3636,0.3708,15470400
2/2/1999,0.3636,0.3731,0.3312,0.3421,26409600
2/3/1999,0.3374,0.354,0.3349,0.3492,7512000
2/4/1999,0.354,0.3779,0.3492,0.3684,18192000
2/5/1999,0.3743,0.3827,0.3647,0.3791,13684800
2/8/1999,0.3816,0.3827,0.3661,0.3661,15408000
2/9/1999,0.3731,0.3756,0.3469,0.3517,8697600
2/10/1999,0.3517,0.3613,0.3421,0.3481,14822400
2/11/1999,0.3492,0.3923,0.3492,0.3779,13224000
2/12/1999,0.3827,0.4018,0.3827,0.3995,10972800
2/16/1999,0.4066,0.4235,0.3613,0.4018,21100800
2/17/1999,0.3923,0.3971,0.3731,0.3804,6772800
2/18/1999,0.3923,0.3971,0.3756,0.3863,7070400
2/19/1999,0.3827,0.4066,0.3779,0.3995,7536000
2/22/1999,0.4066,0.4114,0.3804,0.4018,20524800
2/23/1999,0.4114,0.4294,0.3875,0.421,13809600
2/24/1999,0.4832,0.5023,0.4437,0.4545,61276800
2/25/1999,0.4736,0.4879,0.433,0.4401,14913600
2/26/1999,0.4449,0.4592,0.4162,0.4198,17260800
3/1/1999,0.4305,0.4401,0.4018,0.4221,9216000
3/2/1999,0.421,0.4235,0.4114,0.4187,5524800
3/3/1999,0.421,0.421,0.3875,0.39,6139200
3/4/1999,0.4091,0.4114,0.3779,0.3816,5736000
3/5/1999,0.3852,0.4043,0.3852,0.403,7876800
3/8/1999,0.3923,0.421,0.3852,0.4091,7588800
3/9/1999,0.4078,0.4282,0.4078,0.4221,14318400
3/10/1999,0.4282,0.4282,0.4091,0.415,23534400
3/11/1999,0.4078,0.415,0.3971,0.3971,5428800
3/12/1999,0.3995,0.3995,0.3827,0.39,9076800
3/15/1999,0.3995,0.4114,0.3971,0.4066,10881600
3/16/1999,0.4091,0.4139,0.39,0.3934,7915200
3/17/1999,0.3971,0.4043,0.3863,0.3959,5136000
3/18/1999,0.3971,0.4066,0.3875,0.4007,4632000
3/19/1999,0.3995,0.4139,0.3995,0.4018,10531200
3/22/1999,0.4103,0.4114,0.39,0.39,3667200
3/23/1999,0.3923,0.3923,0.3588,0.3661,16396800
3/24/1999,0.3636,0.3661,0.3492,0.3636,6086400
3/25/1999,0.3624,0.3827,0.3613,0.3684,4032000
3/26/1999,0.3731,0.4018,0.3731,0.4007,8827200
3/29/1999,0.4126,0.4221,0.4055,0.4126,6595200
3/30/1999,0.4139,0.4173,0.3756,0.3779,6950400
3/31/1999,0.39,0.4091,0.372,0.4043,15360000
4/1/1999,0.4043,0.4066,0.3852,0.3923,3043200
